Index,C_c_0,C_c_2ws,C_c_ws,C_s_2ws,C_s_ws,S_c_0,S_c_2ws,S_c_ws,S_s_2ws,S_s_ws
0,-3.0917508340335196e-14,7.180616383885227e-15,5.299690359990937e-15,2.577969231822441e-15,-2.6446389879053298e-14,1.4192194580201448e-14,5.754425498940714e-15,2.5064207058069398e-14,-2.5703992639267626e-14,7.519368116964065e-15
1,-3.024933830462157e-14,1.3094442017831388e-14,4.332001112559032e-15,1.2385147250384497e-14,1.0379774272902999e-14,1.7380550520004944e-14,-2.784100447019322e-15,2.0151709072586017e-14,-5.266168724068709e-16,-2.3639603592998323e-14
2,-3.025087132660379e-14,-6.220749608578215e-15,3.943784843094992e-15,-1.53176195535464e-14,1.1567079164775024e-14,1.7373001800922395e-14,2.9497564095526412e-15,-2.3353135696764174e-15,-9.494756496498192e-15,-8.32864745766839e-15
3,-3.046454268498681e-14,2.5283389030584407e-15,-1.445575034199379e-14,3.0284945269257624e-14,-6.3548003456434965e-15,1.6886489556821274e-14,-2.236675368757137e-14,-6.5045323004939685e-15,1.4702699894859413e-14,-6.845272206636502e-15
4,-3.015577294405029e-14,1.3187394882945691e-14,4.92271779238852e-15,1.84988876011516e-14,1.5470027041774784e-15,1.7122331337128676e-14,3.4045906396254203e-15,2.116851504194871e-15,1.1062186995266806e-14,8.502912324907005e-15
5,-3.0203537775633406e-14,-2.858138963725826e-14,-2.2570826117703574e-14,1.7017766886995593e-15,9.192486372544665e-15,1.7075032339666302e-14,1.9856696198876105e-14,8.13223096080431e-15,-1.6257442458257793e-14,-1.4908446405212735e-14
6,-3.032844602967627e-14,-1.4437840929311733e-14,-8.964308360197234e-15,-3.67466408562126e-15,1.8380309445944342e-14,1.716729376390745e-14,-1.0628006331094883e-14,-1.4866449184170372e-14,3.671278308019199e-15,-8.282099265949902e-15
7,-3.014904493006859e-14,2.2588110967134823e-15,-2.3693549614989206e-14,-2.8726840267231704e-15,1.3118741589515738e-14,1.723719175755025e-14,-6.441029771914197e-15,-5.6119746448870054e-15,2.3480754653121005e-14,1.8275812031589168e-15
8,-3.023917088084958e-14,1.7162361849922334e-14,7.136814984510774e-15,-9.198789519895504e-15,1.2944939523277212e-14,1.716990210408492e-14,7.587185242953949e-15,7.715466939953509e-15,6.982786782711437e-15,1.5309258602708182e-14
9,-3.020729353959258e-14,-9.256445277017405e-15,6.7275065736494095e-15,-1.0869459817233485e-14,-1.9194116600677722e-14,1.7158081550452768e-14,8.559469949429956e-15,2.2894635823741436e-15,-1.186066436985845e-14,-5.200511612415285e-15
10,-3.016896309900604e-14,-8.918564566172145e-15,3.9417214590800715e-14,-8.609403456179693e-16,-1.1336392432124178e-14,1.723996642918994e-14,-5.914177113560365e-15,-1.502720397848217e-15,-1.844513510890176e-14,3.228454028346866e-14
11,-3.017387730510018e-14,2.75541850928474e-14,-1.0345644548962051e-14,-1.1505190384266986e-14,-2.2479921759023233e-14,1.7127167447598542e-14,8.587372372786654e-15,5.815070474010489e-15,1.3144871794197382e-14,1.8568074099907075e-14
12,-3.019767702385011e-14,2.9377311262442545e-14,7.880854103846872e-15,5.847967083324106e-15,-3.368243196292738e-15,1.7160810016730467e-14,1.0200363617709628e-14,-7.5596013892258e-15,1.937427490154372e-14,-1.3773402702268868e-15
13,-3.023715066844803e-14,4.513462478463394e-15,4.263124867323153e-15,-2.0303969053019295e-14,8.731697117386524e-15,1.720743608613736e-14,2.5436026986336474e-14,5.248710747888865e-15,8.659178024783232e-15,-1.0690808352750882e-14
14,-3.021588130372465e-14,1.575353750381409e-14,-8.302689529558468e-15,1.0763721497995496e-15,-3.794849623250214e-15,1.71876187161033e-14,-9.149492508436087e-15,-3.72616950142489e-16,2.392383015353383e-14,-5.950930988810163e-15
15,-3.022625431093557e-14,-5.048757099818512e-15,-1.562140978236105e-14,-4.937195294031798e-15,-2.5393689729126904e-16,1.715779785878521e-14,7.103078013342776e-15,6.4411586764968085e-15,2.723140091913471e-16,5.5452480819262274e-15
16,-3.0232586550529954e-14,8.155982284509996e-15,-2.471589221009111e-14,-1.37968085474758e-15,1.1103471647254579e-14,1.7160387306534667e-14,-1.9943501615477926e-14,-2.4774381620952967e-14,1.460605863213084e-14,-1.9168766721494595e-14
17,-3.0232415168855824e-14,-2.1820480905117906e-14,3.981992661204202e-15,9.635291553318661e-16,-1.0742282991014667e-15,1.7176867225212277e-14,2.2323775536531077e-14,8.379056611050364e-17,-1.678832357212604e-14,4.998417525199047e-15
18,-3.023335772187799e-14,-1.09899639282728e-14,-7.390443392850945e-15,-7.646050941159823e-15,1.0303400779103284e-15,1.716556297338735e-14,3.3382903335569498e-15,7.466055078857392e-15,8.221422311862584e-16,-1.0032304586181251e-14
19,-3.020007417428521e-14,-8.211416883445485e-15,1.4104808886393432e-14,4.568854857469217e-14,2.123343796278149e-15,1.71684323411765e-14,-3.754999998968127e-14,1.2737695440407498e-14,-1.3470359376161875e-14,-2.3399225909861838e-14
