Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,2.4444371188395403e-15,8.24624444056012e-16,3.7901794653009726e-16,9.54162067138682e-16,4.129991729841959e-16,4.1531835490819835e-16,4.822528204284744e-16,8.171401553878789e-16,4.640303430138545e-16,7.02327672761784e-16,6.181738556349668e-16,2.310400352026726e-16
1,2.431808071886075e-15,8.12932541426897e-16,3.79135609776715e-16,9.242702037362443e-16,4.15720873477803e-16,4.138003171748361e-16,4.854039093366885e-16,7.915849234749796e-16,4.595007734302014e-16,7.075065815552094e-16,6.042950105618201e-16,2.2984637984937395e-16
2,2.431036548016196e-15,8.123516685070123e-16,3.801411896386383e-16,9.193605412580619e-16,4.1750302203134427e-16,4.1443947124279615e-16,4.873847208443032e-16,7.875417260653745e-16,4.5941367958481e-16,7.069499617426201e-16,6.044441511878285e-16,2.2977345798908854e-16
3,2.4301657318043018e-15,8.12106199612955e-16,3.8056800778168113e-16,9.170915915332358e-16,4.1828297484945814e-16,4.1471730495553127e-16,4.883048312779218e-16,7.855826413022226e-16,4.593578887766962e-16,7.062429413860836e-16,6.047598865921393e-16,2.296911513481443e-16
4,2.4302601487052814e-15,8.121507585942719e-16,3.8067061520809285e-16,9.169010195675019e-16,4.1843732838294903e-16,4.147971995217042e-16,4.884678877442489e-16,7.854469508552556e-16,4.594417224818246e-16,7.059765515265709e-16,6.051188124844371e-16,2.2970007531839407e-16
5,2.429972349753897e-15,8.11983852909391e-16,3.802631019687282e-16,9.179194912238446e-16,4.178000446789545e-16,4.144741912610813e-16,4.877369557453576e-16,7.862984338739146e-16,4.593099882483272e-16,7.062314328813248e-16,6.046578177306291e-16,2.2967287352238687e-16
6,2.429977480542966e-15,8.120929428476173e-16,3.798905572437601e-16,9.196007199151695e-16,4.171486274734808e-16,4.142184931667491e-16,4.869803766075217e-16,7.87732312354355e-16,4.594334855448804e-16,7.057173892239108e-16,6.05263335709485e-16,2.2967335846743947e-16
7,2.4301151951958594e-15,8.12060637259608e-16,3.796496615291584e-16,9.203571959744416e-16,4.167593932373722e-16,4.140395699454483e-16,4.865440005175124e-16,7.883511175720513e-16,4.593615567185651e-16,7.061871119460489e-16,6.048033201703481e-16,2.296863747966414e-16
8,2.4303406119122508e-15,8.120832524212457e-16,3.7968028516384585e-16,9.203509501102424e-16,4.168004845062151e-16,4.14062451120763e-16,4.8657649213677e-16,7.883708484089257e-16,4.59361724274846e-16,7.064196173103749e-16,6.046577723503187e-16,2.2970768043207343e-16
9,2.4303505633411573e-15,8.120721261150769e-16,3.7975990219299027e-16,9.20077159045619e-16,4.169312803270404e-16,4.1411420421991164e-16,4.867073603669203e-16,7.881716595190995e-16,4.593739177698079e-16,7.063605634697139e-16,6.047226287833933e-16,2.297086210079087e-16
10,2.4293920353087186e-15,8.118913018034633e-16,3.797178461020019e-16,9.196142897728082e-16,4.1691872075972187e-16,4.140641933719737e-16,4.867362021936769e-16,7.877047393566982e-16,4.593029703564376e-16,7.056515563468225e-16,6.050064911262985e-16,2.2961802413853104e-16
11,2.4297840554756006e-15,8.119291090822239e-16,3.7991459368908727e-16,9.191878706162673e-16,4.17219029102036e-16,4.141967839349353e-16,4.870077455797082e-16,7.874672927108906e-16,4.593598547565381e-16,7.057719643390204e-16,6.050606167922749e-16,2.296550765758626e-16
12,2.4302165065064692e-15,8.120147894675082e-16,3.800587511543239e-16,9.188043460533266e-16,4.174459218842794e-16,4.1432684402114027e-16,4.873123092409233e-16,7.87074572089023e-16,4.593297456358944e-16,7.064049917556857e-16,6.045940138042295e-16,2.296959504034711e-16
13,2.4300548649852432e-15,8.1208427132539715e-16,3.800312691227838e-16,9.18902948396327e-16,4.1740026310933844e-16,4.1433859313258707e-16,4.873439406750763e-16,7.870218554503292e-16,4.593474095765021e-16,7.062244206290808e-16,6.047476032640747e-16,2.296806725865592e-16
14,2.4301364395287467e-15,8.121141094041345e-16,3.79906273809056e-16,9.19459186063613e-16,4.1718265353309034e-16,4.142502299325478e-16,4.8708570945247795e-16,7.875049824158664e-16,4.593712253471967e-16,7.062091096754828e-16,6.04811568792456e-16,2.2968838274005726e-16
15,2.4302024238421536e-15,8.121199914119436e-16,3.798687568442108e-16,9.19780002745112e-16,4.171030385105964e-16,4.1420632137128796e-16,4.869225886920859e-16,7.878932767049638e-16,4.594412665452243e-16,7.059258484768783e-16,6.0514970559928e-16,2.296946193570579e-16
16,2.429789090678293e-15,8.120385270917953e-16,3.798001941465526e-16,9.194611610202158e-16,4.170420120409968e-16,4.141770006307696e-16,4.869940072522637e-16,7.873894275392837e-16,4.592723526162478e-16,7.063093046777574e-16,6.045231234913803e-16,2.2965555248641e-16
17,2.4299570646748823e-15,8.120877421572098e-16,3.7995042611729507e-16,9.192227713822976e-16,4.1726322399560707e-16,4.142783957206311e-16,4.871792465507609e-16,7.873033588207048e-16,4.593756674902542e-16,7.059942704674591e-16,6.049567710417138e-16,2.2967142882775085e-16
