Index,C_c_0,C_c_2ws,C_c_ws,C_s_2ws,C_s_ws,S_c_0,S_c_2ws,S_c_ws,S_s_2ws,S_s_ws
0,2.3729563337521547e-15,3.378201794824581e-15,3.2722881432152907e-15,3.2869200541532858e-15,3.4295626959583646e-15,2.0321892622556532e-15,2.8930770092680197e-15,2.802373028556183e-15,2.814903732080532e-15,2.9370622568257823e-15
1,2.339311473237339e-15,3.302172889535724e-15,3.2936696062897933e-15,3.311157543051882e-15,3.3221218081172605e-15,2.0034873850105765e-15,2.8281234897519443e-15,2.8208409107070865e-15,2.8358183350875264e-15,2.8452086052570643e-15
2,2.3376399413245013e-15,3.3023099030065542e-15,3.3071102451740884e-15,3.308552541290604e-15,3.3044749157655088e-15,2.0024668361237593e-15,2.8288214735186788e-15,2.832933537922869e-15,2.8341690362090408e-15,2.830676064626981e-15
3,2.3369335749645285e-15,3.3040999056769987e-15,3.3133535813140484e-15,3.3052436592990176e-15,3.2963195870186812e-15,2.00182235593199e-15,2.8302991271445918e-15,2.8382258457142756e-15,2.8312788689715584e-15,2.823634489350284e-15
4,2.3370617988095815e-15,3.3059449154509927e-15,3.3144599879929413e-15,3.3039969446878554e-15,3.295634610611543e-15,2.0020024241015097e-15,2.831978913886739e-15,2.839273199334845e-15,2.830310219378162e-15,2.8231467746201105e-15
5,2.3365815075631455e-15,3.30351447426031e-15,3.3095003070700927e-15,3.305189799061763e-15,3.2992953224756793e-15,2.0015376049658567e-15,2.8298214410148633e-15,2.8349489614660178e-15,2.831256539931716e-15,2.82620727607747e-15
6,2.3368954270227595e-15,3.3068490416114293e-15,3.3043665995265173e-15,3.3027840553159412e-15,3.3053381944381264e-15,2.001790558220495e-15,2.8326552880424557e-15,2.8305288218474165e-15,2.8291732104571654e-15,2.831361092516435e-15
7,2.336802463795396e-15,3.3044581178281515e-15,3.30140560428744e-15,3.3049823754094897e-15,3.308057210591268e-15,2.001636801380952e-15,2.830502397932252e-15,2.8278877039072043e-15,2.8309514616783186e-15,2.833585275769747e-15
8,2.336867541651666e-15,3.303557788407566e-15,3.301626073584761e-15,3.3060705093024576e-15,3.3080347609638947e-15,2.001756228111164e-15,2.8298212286332958e-15,2.8281665254425658e-15,2.831973620504552e-15,2.8336561946884874e-15
9,2.3368355243632085e-15,3.3037639919333166e-15,3.302514069548089e-15,3.305794135096127e-15,3.307050668581628e-15,2.001818559620622e-15,2.83012475919144e-15,2.829054030078181e-15,2.8318638538857954e-15,2.8329402463087264e-15
10,2.3363151805889814e-15,3.3056102565566466e-15,3.3027097734687847e-15,3.302475954962906e-15,3.305386968833117e-15,2.0011939362486372e-15,2.83145324568528e-15,2.8289688081334262e-15,2.82876852857353e-15,2.8312619863714345e-15
11,2.3364239755952944e-15,3.30536943359182e-15,3.3045523095097127e-15,3.3030394689174105e-15,3.303854282424297e-15,2.0016119897810598e-15,2.8317065558478182e-15,2.8310065264965662e-15,2.8297104775346447e-15,2.830408527418508e-15
12,2.3366705312418127e-15,3.3030896580522885e-15,3.3066189020006872e-15,3.306002061153715e-15,3.302475772861462e-15,2.0016600556909403e-15,2.8295228362277395e-15,2.8325460894180575e-15,2.8320176855769534e-15,2.8289969642878027e-15
13,2.336870473671299e-15,3.304504659314384e-15,3.306833534580419e-15,3.305156981456222e-15,3.302830181120745e-15,2.001482462697066e-15,2.8302416407049803e-15,2.832236275433475e-15,2.830800341472365e-15,2.8288074838800743e-15
14,2.3369563363430123e-15,3.304825980461157e-15,3.3050813271653003e-15,3.3050853256146807e-15,3.3048294766487376e-15,2.0015730838879516e-15,2.830541001795487e-15,2.830759702967659e-15,2.830763127588193e-15,2.830543996235241e-15
15,2.336973262530183e-15,3.306197213339583e-15,3.303974484224146e-15,3.3037596524988892e-15,3.3059825940917833e-15,2.0018760093624797e-15,2.83212349483186e-15,2.8302194815669895e-15,2.830035454439364e-15,2.8319396497146707e-15
16,2.3367388391197882e-15,3.3037417218503052e-15,3.30445908918191e-15,3.3055542420123604e-15,3.3048365752724667e-15,2.001088827723618e-15,2.829191066884189e-15,2.829805391313011e-15,2.830743235995085e-15,2.830128655165089e-15
17,2.336880461408617e-15,3.305615776574617e-15,3.305716015703545e-15,3.304079870000929e-15,3.3039797269052294e-15,2.0015102907674926e-15,2.831220553810171e-15,2.831306407430585e-15,2.8299050681173168e-15,2.829819296748219e-15
18,2.3369997933574452e-15,3.304233269410073e-15,3.305330319599603e-15,3.3057996265515753e-15,3.3047031287393286e-15,2.001851049804852e-15,2.830373737288975e-15,2.8313134596970987e-15,2.831715463418775e-15,2.830776214171602e-15
19,2.3360270602111528e-15,3.3038375702466734e-15,3.302783557392835e-15,3.3034444652423616e-15,3.3044983401543594e-15,2.00070984217098e-15,2.829599218396596e-15,2.8286965003046836e-15,2.829262540339852e-15,2.8301651402903253e-15
20,2.3366509278504996e-15,3.3040720191701768e-15,3.3036679406733652e-15,3.304972061893325e-15,3.3053778336955992e-15,2.0012379017657643e-15,2.829791166543534e-15,2.8294450912297296e-15,2.8305620132238426e-15,2.8309095387786873e-15
21,2.3367877031622754e-15,3.305722685634359e-15,3.304637958177324e-15,3.303713731375968e-15,3.3047981725322426e-15,2.001453915893055e-15,2.8313447580479395e-15,2.830415691186786e-15,2.8296240928108432e-15,2.8305529144559775e-15
22,2.3369809857680643e-15,3.305037672096236e-15,3.3048460834735107e-15,3.304945543084247e-15,3.3051363783592606e-15,2.0018329119934995e-15,2.8310599134832886e-15,2.8308958007186273e-15,2.830980996757191e-15,2.831144464212261e-15
23,2.33690093454873e-15,3.304027851255092e-15,3.304160161910755e-15,3.3057228169573535e-15,3.305592901529672e-15,2.001756822786195e-15,2.8301842821602828e-15,2.8302976176268337e-15,2.8316361661955577e-15,2.831524882447966e-15
24,2.3366863060748774e-15,3.3044857710293883e-15,3.3045231671471663e-15,3.3046608522347414e-15,3.3046243602653397e-15,2.001708928613181e-15,2.8307687921772666e-15,2.8308008273471807e-15,2.830918774488147e-15,2.830887513851756e-15
25,2.3368253615415914e-15,3.305025386495289e-15,3.3063132368644646e-15,3.3045084554331174e-15,3.3032245619115066e-15,2.0015003243589174e-15,2.830767541276978e-15,2.831870590299833e-15,2.8303247877423603e-15,2.829225127775365e-15
26,2.3363882682906757e-15,3.3049515970284674e-15,3.306025404438059e-15,3.3033483766404254e-15,3.302272216296036e-15,2.000994962979156e-15,2.8305190486948283e-15,2.8314387088587505e-15,2.829145973866232e-15,2.828224298536105e-15
27,2.33625715894088e-15,3.3030016804899938e-15,3.3042149693168342e-15,3.3049231683528216e-15,3.30371565610975e-15,2.001818590387483e-15,2.8301722448582926e-15,2.8312118496465684e-15,2.831818668973161e-15,2.8307840138423883e-15
28,2.33669882807249e-15,3.30498890837073e-15,3.303315286280702e-15,3.3041909621365777e-15,3.3058652970160534e-15,2.0017629473550514e-15,2.8312610331786878e-15,2.8298273034025414e-15,2.8305774623280847e-15,2.8320118027244306e-15
29,2.3366182574274236e-15,3.3039337676611206e-15,3.3032927500965806e-15,3.3050128825699873e-15,3.3056594931692123e-15,2.00061555605779e-15,2.8288323395387868e-15,2.8282834994759104e-15,2.829756279111111e-15,2.8303099079374755e-15
30,2.336457175392132e-15,3.3048899837246422e-15,3.303833013354556e-15,3.303606641157987e-15,3.304667081308573e-15,2.0018265380910847e-15,2.8315590564081518e-15,2.8306534668004765e-15,2.8304595159438756e-15,2.8313680783852755e-15
31,2.336649636049908e-15,3.304077883454995e-15,3.3040593864239898e-15,3.3049622254723943e-15,3.3049846215357602e-15,2.0017522012392222e-15,2.8305249851033293e-15,2.8305091391365405e-15,2.831282579888901e-15,2.8313017660640335e-15
32,2.3366326619827236e-15,3.3051354429366987e-15,3.303967943788513e-15,3.3038524391001237e-15,3.3050261802904533e-15,2.00115159902833e-15,2.8306019958762717e-15,2.8296021199328814e-15,2.829503198782105e-15,2.830508420569033e-15
