Index,C_c_0,C_c_2ws,C_c_ws,C_s_2ws,C_s_ws,S_c_0,S_c_2ws,S_c_ws,S_s_2ws,S_s_ws
0,-1.5719372011555278e-16,3.606052515953279e-16,1.2505269829914932e-16,6.660434858128487e-17,5.584121895827757e-17,3.695222373846287e-17,3.7616622198630147e-16,1.8181730221512666e-16,1.0729692217107915e-16,-5.340566603230091e-17
1,-1.5757471479785935e-16,-1.121410285871411e-16,5.590562823720458e-17,-5.753475266768803e-17,-2.3878450272054166e-17,3.1711416119955774e-17,-9.675417512314647e-17,9.603907797732671e-17,-4.255985271175745e-17,4.783640188337746e-17
2,-1.5777034672949723e-16,-1.9230741350349431e-16,2.223332788770628e-16,-2.281364161622087e-16,-1.6737588551014703e-16,3.199048919045447e-17,-9.280780557208369e-17,9.32567339863065e-17,1.0555219477008066e-16,-1.7348845380184832e-16
3,-1.5751242977644427e-16,8.743967482574299e-17,-1.3582451122596874e-16,-9.37875093053884e-17,5.372566276832424e-17,3.1767050429508124e-17,2.2759996671465534e-16,-2.94100419014392e-16,-5.100448158564171e-16,3.644781834599148e-18
4,-1.5777991961545825e-16,-4.445525345021138e-16,-2.587431764849017e-16,-4.6868068241376354e-17,-1.902229499849535e-17,3.1648947508343035e-17,-3.5233083754981444e-16,4.384754460335475e-17,-2.3255879728140256e-17,2.0719772444417384e-16
5,-1.5757492167723175e-16,-9.170235709378244e-17,-1.0409774319704698e-16,8.309799224428045e-17,8.136726232639801e-17,3.167845407241501e-17,1.4197116987560857e-16,3.8066446560401544e-17,-1.7963117258320092e-16,-2.4227084561700838e-17
6,-1.574115734980923e-16,-2.659804971319453e-16,-1.2075365430786796e-16,9.413813632454862e-17,-4.082689123684114e-16,3.1740609515299005e-17,-3.664102999679353e-17,-2.1644980046042696e-16,-2.179877455340212e-16,-1.500688190769611e-16
7,-1.5808289582320245e-16,1.7590322147178067e-16,-2.732007961302237e-16,-1.609093040227349e-17,-6.467529632930101e-16,3.1703067458600116e-17,-1.6609093576380842e-16,1.360475055276792e-16,-2.6245003691887886e-16,-6.052112340223145e-17
8,-1.577073615189957e-16,-2.9514708239866037e-16,1.0268205807981038e-17,-4.572410962733732e-16,-3.4751269703595656e-17,3.170630691094734e-17,-9.133396802734573e-18,-2.079232187120792e-16,1.665810588336726e-16,-9.69206931526401e-17
9,-1.57620171427306e-16,-2.3247382477443845e-16,2.34710347466936e-16,2.3115501775368987e-17,-1.7063950592997132e-16,3.1623625309698684e-17,1.9605234049287218e-16,2.600447228558745e-16,5.871966784800731e-17,4.695407630281484e-17
10,-1.57589632642222e-16,4.07011345366151e-17,1.0723966542988588e-16,3.6930792970518257e-16,2.1080256549820905e-16,3.172648165412886e-17,-5.045067635881318e-17,3.2464457159447924e-16,4.4366170161039247e-16,1.3595032740485148e-16
11,-1.576448431417686e-16,3.5324606070835956e-16,-5.730286213972996e-17,2.5825207925434306e-16,6.017137738031548e-17,3.165671894267658e-17,4.3937152869452984e-17,1.5664946773673897e-16,1.6279090114891675e-17,-1.2924717490491166e-16
12,-1.5766981461309532e-16,-1.602988310278357e-16,8.804766300520605e-17,-7.152291033003689e-17,2.098546642464027e-16,3.1720750961928355e-17,5.76055026913157e-17,2.358403820564816e-16,2.0426852252084065e-16,2.4559952794229624e-16
13,-1.5757126703672342e-16,-9.033804861959413e-18,-2.464396861179242e-16,-3.8639898967600665e-17,-8.960254655731621e-17,3.1683842709563127e-17,1.7146210192389665e-16,-4.073861668432801e-17,-1.3048522756989579e-16,-9.359810299136827e-17
14,-1.5758412958611277e-16,4.024824259973086e-16,-2.16329438689908e-16,1.9293897123053148e-16,2.5643444308137214e-16,3.172573196125292e-17,3.401939096974719e-16,-1.7215815935355768e-16,1.1406318391422377e-16,3.2471342460472254e-16
15,-1.576655306506207e-16,-2.1472874469523206e-16,3.1778871716816997e-16,-2.8561667528857467e-18,-3.573359021148617e-16,3.1734679492660424e-17,5.909109821581422e-17,-2.073505848016999e-16,2.3394876965803933e-17,1.5426205716358271e-16
16,-1.5760481328070912e-16,-1.6162753331784706e-16,3.998777472281361e-16,-3.8871801783997666e-16,1.156448386239321e-16,3.1661497572487296e-17,1.1868387484624825e-16,-5.09024676472073e-17,-6.281360922693176e-17,1.5633706545657098e-16
17,-1.576090222348033e-16,1.3783690919541197e-16,-4.2772849906558355e-17,2.346001383171146e-16,3.6094198124043205e-18,3.1604512237423795e-17,1.1603117658787297e-16,4.0312172711712263e-16,-3.0912259430655913e-16,-1.0716496256139465e-16
18,-1.5763298058295183e-16,3.4942664778278765e-18,3.2495985548776797e-16,-2.904949993116245e-16,-1.350875486675711e-16,3.173643454537176e-17,-1.0576600839707293e-16,-3.6395753267777725e-16,1.222483877085417e-16,-5.112918841537225e-16
19,-1.5761999895221866e-16,1.5214277425816832e-17,-1.0727604533455524e-16,-6.535343269703982e-16,2.6526063232708517e-16,3.169042102075042e-17,4.314847198018193e-16,-1.928982735698368e-16,6.303318614275239e-16,-4.945698967872966e-17
20,-1.5769263033494156e-16,-1.5900770055358902e-16,2.3540259296982136e-17,-3.0079679167169158e-16,3.2868323509994893e-16,3.164855830833492e-17,1.0401901473955633e-17,-3.8428132836110243e-17,1.014631939769059e-16,2.6531542820020514e-16
21,-1.5764236979440155e-16,-9.643373803028494e-18,3.941688739811049e-17,-2.7924087163531666e-16,-9.158781605837372e-18,3.179138159688946e-17,-1.4529173219391768e-16,-9.110978601209422e-17,4.80921053086556e-16,2.5562206614203134e-16
22,-1.5761345937615297e-16,-4.711118122214177e-17,-1.5767897216631309e-16,9.858332463936097e-17,-2.653651264120577e-17,3.170840576187453e-17,-1.0640314816176493e-16,2.117626934966175e-16,-1.9349498926041966e-16,-8.366184139376383e-18
23,-1.5769990286250446e-16,3.040996092627358e-16,-2.4526062414933475e-16,-1.8438431877297923e-16,-2.3881497516322254e-16,3.1750923543648795e-17,-1.6797046141914123e-16,-3.897461243311787e-17,1.783455105932789e-16,1.1369245681135348e-16
24,-1.5758996684973877e-16,-2.1459806695940304e-16,7.198835717475882e-17,1.815073371588322e-16,-9.249867793304832e-17,3.1858957807846674e-17,1.7539880640613134e-16,-2.701836313144205e-16,-1.500456446592699e-16,-8.639979416435039e-16
25,-1.575544747074297e-16,-2.245843090473567e-16,-6.294399905955844e-17,1.2576049483880947e-16,3.701345756558921e-16,3.164896883898152e-17,3.6827730957766546e-17,1.9778590263594048e-16,-4.3209115028355997e-16,4.145129823379687e-17
26,-1.5760760327795027e-16,-1.9601808491730318e-17,3.2336426164189734e-16,1.5916183017000638e-16,1.1385860526220452e-16,3.170810001769511e-17,1.7632720393792233e-16,-3.533650351403327e-16,-4.234171849474292e-16,4.2083799846785676e-16
27,-1.5767997636597716e-16,4.603850908541927e-16,8.173320263813752e-18,8.317304365853813e-18,-4.682090454976331e-16,3.175457192917475e-17,2.513664527991521e-16,-8.855177608995804e-17,4.051142705289616e-16,2.790801515506035e-16
28,-1.5752663563405845e-16,-5.9004830354815015e-18,-9.4746943338511e-17,-1.872836991126958e-16,-5.095660892368536e-16,3.1735526653422737e-17,-8.031244925828838e-17,3.8985295929929013e-16,-1.1449998985775597e-16,-2.680013040036314e-17
29,-1.5763555093520927e-16,2.2958153667754865e-16,1.625295118605102e-16,-2.5509081213260827e-16,3.143983949793985e-16,3.176435603646459e-17,2.8877123624559988e-18,-1.807644330579911e-16,1.758220764098291e-16,2.3548419451482896e-16
30,-1.5761245718418527e-16,-2.7537007424524206e-16,-1.9791454102949015e-16,-2.4777165164183634e-17,-1.1672949422530045e-16,3.172131354328055e-17,-6.928124914768348e-17,1.998915012058601e-16,-5.68386403820944e-17,-1.0921079478836662e-16
31,-1.5763318816656213e-16,-5.595481466514181e-16,-8.547550478144797e-17,-2.7245840152880877e-16,-1.2526678945649643e-16,3.1725112360496086e-17,-5.200061032566475e-16,-1.815418323686629e-17,2.459542004050716e-16,-1.9179826808609643e-16
32,-1.576578079655604e-16,7.25469863986784e-17,-1.3397377485289994e-16,-1.5033167347545783e-16,2.5963223007448556e-16,3.166855237079618e-17,-3.5723561404700274e-17,1.8948445041531072e-17,2.085814922981056e-16,2.742614056239253e-16
