Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,3.630556346357043e-16,5.4626282926335103e-17,-2.0072017066374635e-17,-1.553596701281029e-17,-2.6795289093883552e-17,-1.8256417559142764e-17,-1.8429616775037197e-17,-1.485835519448307e-17,2.4633750289638794e-17,1.423158347760865e-17,8.037674872116349e-17,3.0747324816445184e-17
1,-1.1446207510012263e-16,5.4758682129648113e-17,-1.6368204562006064e-18,6.643386778874628e-18,-1.415374019612087e-17,-7.174279568574648e-18,-8.239080947415173e-18,1.3308892168470886e-17,-1.3605351516594117e-17,-1.2293651283962057e-17,-2.0673802077528884e-17,-9.396825104157805e-18
2,-1.6472873160128173e-16,5.4826666049357e-17,2.2557049932958448e-17,4.65667885575427e-17,-1.3743692798597592e-17,-3.3532427659391454e-17,-3.276632317232945e-17,-4.826740794076883e-17,-4.422134981844273e-17,-4.8746703782149766e-17,-1.9830567530599856e-17,-1.9096210204216804e-17
3,-6.772739944647169e-18,5.473703750415422e-17,8.254689193306717e-18,-1.494738367251074e-17,4.3342991311127743e-17,1.907769431947583e-17,2.0017110582957888e-17,1.0140396539970004e-18,-9.293343442517401e-18,-2.003990424450578e-17,4.8632078757553124e-17,1.6402045774604987e-17
4,-4.2803037093867605e-16,5.482999271645632e-17,6.143929348013918e-19,5.292322644772109e-18,-6.462023247455794e-18,3.909712493468861e-17,3.813222465912191e-17,5.76458944153631e-17,-2.0228164262447925e-17,-1.0014463617152296e-17,-7.528375899069903e-17,-3.9678936192524696e-17
5,-1.1919846467521443e-16,5.475875402215832e-17,-1.5860393240555988e-17,-2.2637741922684435e-17,-5.610035062317449e-18,1.4249673363103817e-17,1.5341384395228696e-17,-6.740382706336959e-18,1.9724336018742824e-17,1.775583784897877e-17,3.033547506335366e-17,-5.26391031471709e-18
6,-2.9216699163939207e-16,5.470198900735612e-17,8.108092356840757e-17,1.1358728325129708e-16,3.1899246699789726e-17,1.485108135286692e-17,1.7796046013782533e-17,-4.17516713697286e-17,1.5742169766659704e-17,2.0114823942678246e-17,-7.829216683480251e-18,-2.033056267373178e-17
7,1.213435265516331e-16,5.493527977265689e-17,1.0034178671448136e-16,1.799375602933192e-16,-2.0049974324240063e-17,3.743980487259367e-17,4.026291350603619e-17,-1.6837995199528342e-17,-8.45333986262534e-18,-3.4382052242861e-18,-3.548922957052929e-17,2.023893903791377e-17
8,-2.5199605039162696e-16,5.4804778101629177e-17,1.8014309524253373e-17,9.668388151980071e-18,3.064264339446029e-17,-2.7720993197056548e-18,-1.5132748079981976e-18,-2.69649681681048e-17,-8.271841575311565e-17,-9.770029989958159e-17,-1.9515647521664192e-18,-2.9384423669281775e-17
9,-2.1129863353629418e-16,5.4774478732077304e-17,1.3326984759682164e-17,4.747478269038224e-17,-3.832403979912463e-17,-3.223423774001142e-17,-3.4590391217339114e-17,1.306341434098253e-17,1.0720985874284076e-17,4.939169891309648e-18,4.189118742449294e-17,-2.193351630565207e-17
10,1.1724450129287275e-16,5.4763866219611804e-17,-5.434972375876759e-17,-5.864882187193887e-17,-4.78444297800736e-17,-1.315188059041157e-17,-1.5804424565299012e-17,3.782366934934975e-17,6.487786657494959e-17,7.891131348770474e-17,-1.077997198975707e-17,-3.74497897971529e-18
11,3.397181202456565e-16,5.478305238281552e-17,-1.9266135263555587e-17,-1.6740689969436426e-17,-2.3086184445980018e-17,6.249479022322199e-18,8.444998018528924e-18,-3.595873949889804e-17,4.8016836756097656e-17,5.518162255860452e-17,9.388204706588394e-18,3.156498320001657e-17
12,-1.1673922737889757e-16,5.479173020185802e-17,-4.89834416942907e-17,-5.83850997889652e-17,-3.475692984234377e-17,-8.954403351995179e-18,-1.2976006989003978e-17,6.832992251340688e-17,-1.0965725530990865e-17,-1.5282549722428378e-17,1.230876868828696e-17,-1.7860548691457777e-17
13,-3.1683973413333934e-17,5.4757484000517163e-17,1.73970096480579e-17,2.492893660896548e-17,6.00384560788329e-18,3.323558582587689e-17,3.6319000190215755e-17,-2.6040567660637807e-17,-1.2326548924166017e-18,-8.256321988535916e-18,3.66369053786053e-17,1.3662986351378783e-18
14,4.0395188524249983e-16,5.476195385632043e-17,-3.28613380630433e-17,-7.134437827435746e-17,2.5371774817620524e-17,3.477305161511285e-17,3.1881508407572127e-17,9.034074018056207e-17,4.614849597474204e-17,4.1225942954763635e-17,7.269041928283404e-17,3.4367999815233634e-17
15,-2.0061603296507018e-16,5.479024148496772e-17,7.201266699620702e-17,9.941686251328452e-17,3.055825158473351e-17,-4.2396095342399637e-17,-4.6834049584677354e-17,4.2918300784449787e-17,1.4604741726016475e-18,-6.102871124106384e-19,1.2626201065769942e-17,-1.9743476629397954e-17
16,-1.6522394866864564e-16,5.476914163298321e-17,-1.6387399701071775e-17,-3.217434059606704e-17,7.501741141143706e-18,-5.3865586213989535e-17,-5.893190421729488e-17,4.3495603017326546e-17,-6.609781385124472e-17,-8.305873472193452e-17,2.5359597508248098e-17,-1.3516978277919499e-17
17,7.677453477030489e-17,5.4770604283762156e-17,-2.4248029808293987e-17,-1.0042013442220012e-18,-5.940998511433344e-17,4.5176122255546715e-18,6.3036403282424695e-18,-2.981509634535083e-17,4.616441890642072e-17,5.0127829840478326e-17,2.4792786218758466e-17,1.7588567839402485e-17
18,2.4947570477261535e-17,5.4778930033057026e-17,4.3971784550384174e-17,3.758362978266771e-17,5.363816967462542e-17,-5.255806168354025e-17,-4.7890894681732526e-17,-1.4225000804629408e-16,-5.589627002060889e-17,-6.207107975068343e-17,-2.259939192648078e-17,-1.72812286359526e-18
19,1.2596135560278877e-16,5.477441879537683e-17,-3.311720788359774e-17,-7.379997268164774e-17,2.842834506420692e-17,1.4347580727546605e-17,1.5809786046582407e-17,-1.3759766970268574e-17,-1.0337547890790623e-16,-1.3964295917422193e-16,9.219684510055617e-17,-9.163088875436302e-18
20,-1.336777396732551e-16,5.479965887786254e-17,-5.280530934720784e-17,-9.144520827870703e-17,5.6633385059437205e-18,3.533478519415231e-19,-3.4692410761946635e-18,7.381521781585346e-17,-5.387023389989631e-17,-6.427229965695365e-17,2.2226105698158047e-18,-1.6026158721743594e-17
21,7.584263987650514e-17,5.4782192871551655e-17,6.877550467919417e-18,2.548127199947715e-18,1.342728676387116e-17,-2.0048499832919763e-18,-5.809056014722644e-18,7.111836133620651e-17,-5.518904240040896e-17,-5.966637103564247e-17,-3.104499119604198e-17,-8.906592650237655e-18
22,-7.913623844872783e-17,5.47721462317393e-17,-7.972989417572026e-18,7.382904469489265e-18,-3.120848523441154e-17,2.1973414379873007e-17,2.3237907458464455e-17,-2.3276132440726593e-18,1.4212900647900887e-17,2.1064642834739575e-17,-2.2735531802348673e-17,-1.0119949555788679e-18
23,3.2150242955787014e-16,5.4802186148977116e-17,4.2287579544449914e-17,6.644234573520092e-17,5.74387582889004e-18,3.5922002036538755e-17,3.614523616488347e-17,3.1631155114043535e-17,-3.8849401263977335e-17,-3.939804052549501e-17,-3.589083437309757e-17,2.4426107781233136e-17
24,-2.311562157197753e-16,5.476398235983899e-17,3.1338804791245964e-17,2.573468910429974e-17,3.981825943572289e-17,-2.1973548169788864e-17,-1.0609269956107214e-17,-2.4037876985705944e-16,3.857912326785877e-17,3.878330582907636e-17,3.747807475656603e-17,-1.6832779314938937e-17
25,-2.905499969494967e-16,5.4751648509568053e-17,-7.35982345820915e-17,-1.029776689149095e-16,-2.914865843490559e-17,9.387933562890223e-18,9.27635946072069e-18,1.1532448861469007e-17,2.3899046460245473e-17,2.687168358533869e-17,7.869109729025085e-18,-1.3019163818631667e-17
26,-9.35597251738287e-17,5.477011118302978e-17,1.6504192486619097e-18,-3.167738040961919e-17,5.207710243688669e-17,-3.95079901283717e-17,-4.765574435304743e-17,1.170842145623427e-16,3.458243255733309e-17,3.400866340955241e-17,3.767644869543827e-17,5.3097560243416575e-18
27,5.106226005468211e-16,5.479526150570109e-17,8.362083684518235e-17,1.3026363717786205e-16,1.3050300555553307e-17,2.6949887451764187e-18,-1.2045414636427565e-18,7.764479553463549e-17,9.90127207641905e-18,1.7771874346442857e-18,5.371034673683009e-17,3.4721587596988326e-17
28,-2.5871879894358918e-17,5.474197417208646e-17,6.249382894293384e-17,1.4176986285248333e-16,-5.745450307127812e-17,1.2903958658551803e-17,1.3963312108290586e-17,-7.456247367202868e-18,-3.644193278090003e-17,-4.0017561235732966e-17,-1.7160641163176298e-17,1.3817668746619535e-18
