Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,2.393243849757082e-16,5.676044647830763e-17,4.9903954892115017e-17,6.458040205533996e-17,7.86234627294707e-17,3.3026301524522755e-17,3.3857516583084845e-17,1.4996772789262935e-16,4.5338008680288376e-17,4.938741909504318e-17,1.14327205240493e-16,2.262014183285491e-17
1,2.3954236010543596e-16,5.664859402220243e-17,4.976242049666729e-17,6.41035911484211e-17,7.893952343873144e-17,3.3140558456304465e-17,3.399368791577699e-17,1.4886019276593636e-16,4.520322399715509e-17,4.91970260239396e-17,1.14532416077734e-16,2.2640744114360725e-17
2,2.392199118405925e-16,5.664685413920217e-17,4.9765726239682604e-17,6.413119820001239e-17,7.890122617433591e-17,3.31258684262313e-17,3.3977065865885547e-17,1.489248716761865e-16,4.526199284055987e-17,4.92906141051847e-17,1.1430965828688579e-16,2.2610267380929412e-17
3,2.393174310333322e-16,5.664772674150776e-17,4.97665468652207e-17,6.413323677101295e-17,7.890070033823391e-17,3.3125744671475693e-17,3.397687812301161e-17,1.489294360085305e-16,4.52442564100264e-17,4.9262329148143564e-17,1.143769372709689e-16,2.261948456943873e-17
4,2.39396220422898e-16,5.664765258919035e-17,4.976845626938555e-17,6.414530748716577e-17,7.888584307965276e-17,3.312018088771768e-17,3.3970545253916497e-17,1.489571810786653e-16,4.522934253360038e-17,4.923872332629327e-17,1.1443157989992245e-16,2.262693147948546e-17
5,2.392917348290427e-16,5.664729418118024e-17,4.976856834063172e-17,6.414743400731184e-17,7.888233457825522e-17,3.311880168484155e-17,3.396899654209215e-17,1.4896228522473946e-16,4.524876202452199e-17,4.9269563651967376e-17,1.1435919360649345e-16,2.26170558500015e-17
6,2.3933140919653055e-16,5.664710092176456e-17,4.9763040462300614e-17,6.411384216710231e-17,7.89228653835992e-17,3.313417212355657e-17,3.3986512328541327e-17,1.4888400685733783e-16,4.524112471084764e-17,4.9257508180153916e-17,1.1438668734975774e-16,2.262080573875519e-17
7,2.3933172413553345e-16,5.664681816654936e-17,4.9768299951583283e-17,6.414800394239035e-17,7.888020620518288e-17,3.3118006402211683e-17,3.3968125079019314e-17,1.489634110465517e-16,4.5240830861468915e-17,4.925709680946896e-17,1.1438708943967284e-16,2.262083550573825e-17
8,2.3933982137182615e-16,5.664663509733508e-17,4.9768833895479725e-17,6.415182126020197e-17,7.887523554295062e-17,3.311602946619489e-17,3.396588153847683e-17,1.4897272743166402e-16,4.523904515131179e-17,4.925430734049667e-17,1.1439316142041182e-16,2.2621600829478302e-17
9,2.393232912783567e-16,5.664682726588286e-17,4.97624782412857e-17,6.411114393038574e-17,7.89256560612444e-17,3.3135146533936684e-17,3.3987634275638044e-17,1.4887809061690186e-16,4.524235498996522e-17,4.925951495970522e-17,1.1438144268923361e-16,2.262003846023278e-17
10,2.3931167454239706e-16,5.664697716929657e-17,4.976802091795557e-17,6.414571030783095e-17,7.888336024977796e-17,3.311925354241362e-17,3.396953669040821e-17,1.4895785070036876e-16,4.524474728206178e-17,4.9263283720903665e-17,1.1437292049783408e-16,2.2618940485134805e-17
11,2.3935854255080484e-16,5.664680349706631e-17,4.976900804206016e-17,6.415252727183112e-17,7.887461655713228e-17,3.311587921279538e-17,3.3965704647387073e-17,1.4897397366746253e-16,4.523565368165978e-17,4.924891833575167e-17,1.1440584595219313e-16,2.2623370292810758e-17
12,2.3931611239881875e-16,5.664662546826085e-17,4.9763036469433816e-17,6.411525957663993e-17,7.892020575630964e-17,3.313302484954559e-17,3.398522782393535e-17,1.4888790812648143e-16,4.524348512772765e-17,4.926134863156034e-17,1.1437674902258267e-16,2.261935993650706e-17
