Index,w_s:
0,0.1
1,0.4
2,0.7000000000000001
3,1.0000000000000002
4,1.3000000000000003
5,1.6000000000000003
6,1.9000000000000004
7,2.2000000000000006
8,2.5000000000000004
9,2.8000000000000003
10,3.1000000000000005
11,3.400000000000001
12,3.7000000000000006
13,4.0
14,4.300000000000001
15,4.6000000000000005
16,4.9
17,5.2
18,5.5
19,5.800000000000001
20,6.1000000000000005
21,6.4
22,6.700000000000001
23,7.000000000000001
24,7.300000000000001
25,7.6000000000000005
26,7.9
27,8.200000000000001
28,8.500000000000002
29,8.8
30,9.100000000000001
31,9.4
32,9.700000000000001
