Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,7.560621040808101e-16,2.1878111542063163e-16,1.2777691555030137e-16,2.4855806025156858e-16,1.4896813799247132e-16,1.1866424037825152e-16,1.3067525090552402e-16,2.8335305394184185e-16,1.4282374081715058e-16,1.8955729416010708e-16,2.172242892738776e-16,7.146046580456286e-17
1,7.550962222565775e-16,2.1836493038925564e-16,1.2785411498338456e-16,2.47014424230063e-16,1.4942790819925343e-16,1.1883606075791108e-16,1.3108078609045654e-16,2.8158855167583276e-16,1.4274556320996694e-16,1.8991642162146313e-16,2.1641465181100142e-16,7.136917387933703e-17
2,7.550095739848579e-16,2.1832474367493392e-16,1.278482506128952e-16,2.46962365140183e-16,1.4943007373620783e-16,1.1882096668054049e-16,1.310620425759881e-16,2.8157354873795435e-16,1.4273103676807724e-16,1.8989227344759143e-16,2.1639976330916596e-16,7.136098417398766e-17
3,7.548515761776211e-16,2.1826292701390072e-16,1.277820635097585e-16,2.4705923638455586e-16,1.4930302460484128e-16,1.187382874335646e-16,1.309370892484406e-16,2.8171308420326713e-16,1.4269334281783765e-16,1.8979888194644302e-16,2.164066616788914e-16,7.134605074875672e-17
4,7.549401265744725e-16,2.1830071518667048e-16,1.2779404738793374e-16,2.4710164767298306e-16,1.4931278095175368e-16,1.1875661759775411e-16,1.3095989151053377e-16,2.817307938044974e-16,1.427124680610398e-16,1.8984388901934885e-16,2.1640667137827466e-16,7.135442023662289e-17
5,7.550924721586613e-16,2.1834515982025787e-16,1.2780573781046159e-16,2.472141322091934e-16,1.4930662443215339e-16,1.1876169267036072e-16,1.3095364114048222e-16,2.8186087282966275e-16,1.4274262167752036e-16,1.898894728025981e-16,2.1644429160688276e-16,7.136881943260248e-17
6,7.551168426544843e-16,2.1838090489514014e-16,1.277862980382046e-16,2.4729104930818376e-16,1.4925870941107653e-16,1.1876271974466844e-16,1.309557534308696e-16,2.818535413805629e-16,1.4274284221679147e-16,1.8989815340299966e-16,2.1643220698971852e-16,7.137112285050162e-17
7,7.548983376180946e-16,2.1827306947502444e-16,1.2777815517182874e-16,2.471189855240948e-16,1.492836119387714e-16,1.1872922152339045e-16,1.3091755498318598e-16,2.817866155720659e-16,1.4270006635760363e-16,1.89796868820845e-16,2.1643310195118913e-16,7.135047048398732e-17
8,7.548010235355689e-16,2.182233341889937e-16,1.2776888481359836e-16,2.4707703180685066e-16,1.492780788427525e-16,1.1870297479843277e-16,1.3088013940683667e-16,2.8180887338182106e-16,1.426843052968221e-16,1.8976703835213982e-16,2.1642234883289838e-16,7.134127268181063e-17
9,7.549622883581266e-16,2.183277618202671e-16,1.2777584641101527e-16,2.4718618955681304e-16,1.492651242391678e-16,1.1874989000363724e-16,1.3094755950053152e-16,2.8176376432776826e-16,1.4271569750558702e-16,1.8986252959735172e-16,2.1639032636327924e-16,7.135651489442207e-17
