Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,-6.356872602059877e-15,1.2353002149775075e-15,-1.1499858434765007e-16,3.998620035606612e-15,-1.5925925262564827e-15,6.022277431971348e-16,5.537468254322925e-16,8.301779249779748e-16,2.0056042154857564e-16,7.800278333929649e-16,-5.604047595253346e-16,3.314857574906569e-16
1,-9.031155615573098e-15,1.3143944773341292e-15,6.891519260438424e-16,8.007348622107998e-16,6.483184275710142e-16,-7.510677335132427e-16,-3.9499222226166247e-16,-2.3942813319623914e-15,-4.2224939294712406e-16,-1.5133751309360263e-15,9.945980254423608e-16,-3.242692179907291e-16
2,-8.677839692069037e-15,1.3236699813196397e-15,-2.490163413069068e-16,-1.637467618797076e-15,2.593129252748175e-16,-8.639990461665543e-16,-1.5173056016455609e-15,2.1514143556795938e-15,-1.019183934879272e-15,-2.4578845828184434e-15,8.492141521986526e-16,3.0983090312232205e-17
3,1.1993816455006815e-14,1.3162445514355869e-15,-1.7282260315741136e-15,-3.1233401122262136e-15,-1.2187253795510985e-15,1.179803132898735e-15,2.1047959236176934e-15,-3.102003198765332e-15,2.5197256599258346e-16,2.0988045421930113e-15,-2.14896759920788e-15,3.134491428778883e-16
4,-4.995366110501451e-15,1.3175929802258436e-15,-1.394354772997766e-16,8.60899392395467e-16,-5.046836851697541e-16,-6.673212795215601e-16,-1.1127848033689349e-15,1.3942776159131287e-15,9.376851327031354e-16,3.955695446442281e-15,-2.9839642774439653e-15,2.6569513744142855e-16
5,-7.635933291987353e-15,1.3196753884347032e-15,-4.1177332619778015e-16,1.360588955612701e-16,-6.116026130349098e-16,-2.4095256929440586e-16,-4.286542678555992e-16,6.286135914601309e-16,-1.6800493009745872e-15,-2.2299451444033994e-15,-9.656007951286555e-16,-5.403799685648471e-16
6,-5.524583559438477e-15,1.318572641538136e-15,-3.8788071176688846e-16,2.5569513820851807e-17,-5.385018075098196e-16,1.2028494733210197e-17,1.551248098835777e-16,-6.508383167458398e-16,-2.8602459651526885e-16,1.7327643801920533e-15,-2.908390065341613e-15,1.1861988608177616e-16
7,1.4106642902202679e-15,1.317965170276583e-15,-1.7785539946546678e-16,-4.390196717759539e-15,1.3593630843614278e-15,-2.505616300448927e-16,1.505019981156655e-17,-1.4810920773932758e-15,7.475379573581998e-16,3.526987817900139e-15,-2.8667947268117284e-15,1.4931937075066236e-16
8,2.4049770217740074e-14,1.3194449758358937e-15,6.840289459496613e-16,1.3553722956976618e-15,4.389691797677401e-16,-6.5090088182395e-16,-6.896129249667253e-16,-4.71424245029136e-16,1.0130006621842422e-15,1.318133172473633e-15,6.161280453609526e-16,8.083028527909045e-16
9,-2.8376832661685347e-15,1.3180796486127567e-15,-1.0482846701283464e-15,2.4426395797297744e-15,-2.3212269545056743e-15,3.4583289796593903e-16,7.401732006501381e-16,-1.479939467658775e-15,8.959927796365464e-16,2.9738233867303306e-15,-1.8030346454068724e-15,4.931362946362112e-16
10,-1.7023704109788855e-15,1.3184142783720176e-15,1.0229312904341437e-15,2.4685737708956633e-17,1.3869656081306506e-15,2.39022437390935e-16,7.009459815695575e-16,-1.8987953340763934e-15,-1.6220295305725485e-17,3.278677842187376e-16,-4.631524070879837e-16,1.6385946776420156e-16
11,-6.067891900531797e-15,1.3185960904903286e-15,-2.619457931781561e-17,4.380408516039639e-15,-1.6330719044545985e-15,1.9694037575410917e-16,-1.0807245096011147e-16,1.6098728566329795e-15,2.4269284055849145e-17,7.554516940488356e-16,-9.25978351686889e-16,7.812543174352946e-17
