Index,C_c_0,C_c_2ws,C_c_ws,C_s_2ws,C_s_ws,S_c_0,S_c_2ws,S_c_ws,S_s_2ws,S_s_ws
0,6.295690569020842e-16,8.917799395004661e-16,8.866865180174725e-16,8.871353012986281e-16,8.933969192202787e-16,7.177007849189836e-16,1.0166178841506042e-15,1.010811447896803e-15,1.0113230551773906e-15,1.0184612206382932e-15
1,6.283303972900425e-16,8.892797435421475e-16,8.88901448613637e-16,8.879021737112955e-16,8.883057547325505e-16,7.16223425364164e-16,1.0136752682565403e-15,1.0132440561256861e-15,1.0121049991955706e-15,1.0125650345252348e-15
2,6.284053079097649e-16,8.889073624293312e-16,8.888973198954866e-16,8.884779085244175e-16,8.884978046113355e-16,7.162984603763033e-16,1.013236150476183e-15,1.0132247033234604e-15,1.0127466301506537e-15,1.0127693090431575e-15
3,6.283900969860238e-16,8.883914529433037e-16,8.88919802799584e-16,8.889588934319433e-16,8.884342953008841e-16,7.1625141466949035e-16,1.0126060833913452e-15,1.0132083069684137e-15,1.0132528632414387e-15,1.0126549159547036e-15
4,6.284377108139147e-16,8.892039548169549e-16,8.895718043001382e-16,8.882838830564487e-16,8.879168756088806e-16,7.163085932093266e-16,1.0135363027883393e-15,1.013955586579362e-15,1.0124875826095864e-15,1.0120692585912453e-15
5,6.284465137042614e-16,8.887051940050919e-16,8.89791034323226e-16,8.88794253872745e-16,8.877158790766236e-16,7.162173446124174e-16,1.012824576656211e-15,1.01406206887292e-15,1.0129260749071057e-15,1.011697090870863e-15
6,6.283325359018277e-16,8.890938852670828e-16,8.890271392799152e-16,8.880826484929848e-16,8.881640058220615e-16,7.163179142381369e-16,1.0135936642884669e-15,1.0135175718635488e-15,1.0124408240718081e-15,1.0125335738642226e-15
7,6.283123707302886e-16,8.884575114681631e-16,8.88397838549484e-16,8.886636035203652e-16,8.88738707000866e-16,7.163338144325334e-16,1.0129231697467606e-15,1.0128551371383843e-15,1.013158133616255e-15,1.0132437584824371e-15
8,6.283530614563853e-16,8.886448886270993e-16,8.885768952687421e-16,8.885968143799079e-16,8.886738394550563e-16,7.163555147312805e-16,1.0131018779956615e-15,1.0130243619935726e-15,1.0130470708272004e-15,1.0131348834611158e-15
9,6.278945630880384e-16,8.878508794500264e-16,8.883116848782087e-16,8.881001314357234e-16,8.876418277542262e-16,7.160376417210817e-16,1.0124863110691525e-15,1.013011803805489e-15,1.0127705527468557e-15,1.0122479129493754e-15
10,6.280779072391165e-16,8.882067361664207e-16,8.884632012605132e-16,8.882659412698884e-16,8.880096683546766e-16,7.161754685133711e-16,1.0127913561024899e-15,1.0130837943602314e-15,1.0128588656299317e-15,1.012566646507107e-15
11,6.28064127379468e-16,8.882223935067135e-16,8.880475444915494e-16,8.882103523635395e-16,8.883859544169168e-16,7.161468939903402e-16,1.0127910201408094e-15,1.0125916494497151e-15,1.0127772902891774e-15,1.0129775196282246e-15
12,6.282326000628251e-16,8.884749739553901e-16,8.882737635653145e-16,8.884338646115866e-16,8.886360710019538e-16,7.163560226218269e-16,1.0131031062031263e-15,1.0128736716358496e-15,1.0130562303708047e-15,1.0132868006492932e-15
13,6.284260672547659e-16,8.885623929658868e-16,8.889192676609536e-16,8.888944318450438e-16,8.88537819988319e-16,7.163218353840454e-16,1.0128425241222939e-15,1.0132493136396178e-15,1.0132210041245249e-15,1.0128145142078274e-15
14,6.282327572520751e-16,8.884410425450942e-16,8.888174868768645e-16,8.884685132293055e-16,8.880918958889529e-16,7.159646941114674e-16,1.0125107484750954e-15,1.0129397627977884e-15,1.0125420554067883e-15,1.012112843915076e-15
15,6.278173456771485e-16,8.876834228289034e-16,8.880317224102566e-16,8.880516961806817e-16,8.877037480907151e-16,7.159285730932108e-16,1.0122656384699599e-15,1.0126628202681437e-15,1.0126855972638069e-15,1.0122888162871813e-15
16,6.281664998207892e-16,8.884639652042476e-16,8.883487525982492e-16,8.882583822972155e-16,8.883746286363494e-16,7.16214270711419e-16,1.012996667402155e-15,1.0128653058720424e-15,1.0127622687007395e-15,1.012894808858531e-15
17,6.283564130451312e-16,8.886061466282822e-16,8.88657554578758e-16,8.88653282305518e-16,8.88602811148527e-16,7.163249452440103e-16,1.013009075919588e-15,1.0130676808714037e-15,1.0130628104891952e-15,1.013005273479916e-15
18,6.284322181594124e-16,8.887919552708785e-16,8.888106018510024e-16,8.886821747742413e-16,8.88664001256755e-16,7.162737983190943e-16,1.0130263397091421e-15,1.0130475926881985e-15,1.0129012142126519e-15,1.0128805004204202e-15
19,6.283577658520873e-16,8.886157160148258e-16,8.886029361957449e-16,8.886482315179079e-16,8.886612286819851e-16,7.163573293828089e-16,1.0130636012889162e-15,1.0130490316956614e-15,1.0131006704877345e-15,1.0131154878644804e-15
20,6.284174028271356e-16,8.88701984533339e-16,8.885898455853965e-16,8.887305354387012e-16,8.888428779138212e-16,7.162478017199402e-16,1.0129109091226876e-15,1.0127830971388221e-15,1.0129434504290086e-15,1.0130714943859113e-15
21,6.282057386829492e-16,8.884543969385258e-16,8.882858860090577e-16,8.8837960831612e-16,8.885482079278793e-16,7.162934847703784e-16,1.0130345153752964e-15,1.0128423756454944e-15,1.0129492398044674e-15,1.0131414806516956e-15
22,6.278724249771802e-16,8.880392144405958e-16,8.878126244185349e-16,8.878520667788166e-16,8.880787158198309e-16,7.160680122963241e-16,1.0127797460587284e-15,1.0125213275325298e-15,1.0125663102573695e-15,1.0128247960927584e-15
23,6.28126340303722e-16,8.883306484842995e-16,8.881649818133777e-16,8.882781430446117e-16,8.884442276636227e-16,7.161868974433047e-16,1.0128707080396251e-15,1.0126818156282675e-15,1.0128108415676495e-15,1.0130002105215848e-15
24,6.283128592189252e-16,8.88644124003212e-16,8.885057175025219e-16,8.884919561915801e-16,8.88631346070176e-16,7.16256770117761e-16,1.013026171124234e-15,1.0128683920947378e-15,1.0128527046358817e-15,1.0130116046850615e-15
25,6.282765453040053e-16,8.884392067742393e-16,8.885679592384003e-16,8.885940475642347e-16,8.884664785113957e-16,7.162191210031783e-16,1.0127978714098118e-15,1.0129446459112596e-15,1.0129743859324927e-15,1.0128289604895494e-15
26,6.28354033889237e-16,8.88657008672859e-16,8.88653963242181e-16,8.885958064271754e-16,8.885996403132894e-16,7.163609579014716e-16,1.0131218256664556e-15,1.0131183536944146e-15,1.01305205146755e-15,1.0130564223256667e-15
27,6.281274405250067e-16,8.882847562815004e-16,8.88219711118462e-16,8.883277210961504e-16,8.883929795863297e-16,7.16234513001531e-16,1.0128839448411825e-15,1.0128097758307776e-15,1.0129329363055123e-15,1.0130073485663326e-15
28,6.283825799253909e-16,8.88686636346437e-16,8.885792782629528e-16,8.886477236334799e-16,8.887550891231582e-16,7.163067889531478e-16,1.0130329694092912e-15,1.0129105896258514e-15,1.0129886119726624e-15,1.013111000198582e-15
29,6.269610320213706e-16,8.866543828885817e-16,8.86684502803887e-16,8.866590227945839e-16,8.866290340642682e-16,7.152761039395805e-16,1.0115504156435042e-15,1.0115847783145002e-15,1.0115557091365898e-15,1.0115214961295816e-15
30,6.282644772171516e-16,8.88436237960469e-16,8.88534246323027e-16,8.885638146818061e-16,8.884659785337324e-16,7.16149087501652e-16,1.0127149062080073e-15,1.0128266244444484e-15,1.0128603289652778e-15,1.0127488070334982e-15
31,6.282731126033562e-16,8.88463735051614e-16,8.883945350277975e-16,8.885608445073684e-16,8.886300921315412e-16,7.15929409664518e-16,1.0124216755164653e-15,1.0123428207458154e-15,1.0125323336266666e-15,1.0126112426388465e-15
32,6.280942552724271e-16,8.882337953367584e-16,8.880694661686655e-16,8.882848687833558e-16,8.884491602534017e-16,7.163046229520765e-16,1.012978495697315e-15,1.012791087928811e-15,1.0130367419646557e-15,1.0132241067407505e-15
