Index,C_c_0,C_c_2ws,C_c_ws,C_s_2ws,C_s_ws,S_c_0,S_c_2ws,S_c_ws,S_s_2ws,S_s_ws
0,-3.554725415121417e-15,-2.2406945641241117e-15,-3.757405025843594e-15,3.650559742712425e-15,-1.4372315334806707e-14,-1.0159428646978571e-14,-2.622715455997054e-15,1.0806409874414222e-14,-9.974749033972472e-15,2.9839241577172943e-15
1,-3.840833466863765e-15,5.310636869887917e-16,-9.761807620972958e-15,-2.1066700560506057e-15,-1.2354475548987314e-14,-1.0572049586174859e-14,-1.5383979984645926e-14,3.464102331993172e-15,-2.0543887268054255e-16,1.0434984119213625e-14
2,-3.760329133109502e-15,-4.390309015780146e-15,2.8500637709722534e-15,4.855704034132116e-15,7.842545464741602e-15,-1.0546549650673052e-14,7.65400973909419e-15,1.1316414223613331e-14,2.8782759130271753e-16,-1.7669679980317403e-15
3,-3.816217342774807e-15,-4.717351116450537e-15,-2.7389328273976275e-15,-9.668775790896981e-15,1.1286862815718504e-15,-1.0545123792127894e-14,-2.3147187854786556e-15,1.488972445257572e-14,4.382767057847619e-15,2.9677704198443337e-15
4,-3.790933670833351e-15,6.381877175346596e-16,-2.990744984898341e-15,-7.973869823381424e-16,-6.6734708821754904e-15,-1.0551402844178153e-14,7.763264952733538e-15,9.259062571569161e-15,-3.4623536527078255e-15,1.3867527800872628e-15
5,-3.789603320163022e-15,-2.6535247717660987e-15,1.5229285081793117e-15,3.704050315835589e-15,-5.410149586202093e-15,-1.0572976669037145e-14,1.2478130106233222e-14,-5.671536044697762e-15,-7.188828211218705e-15,9.154504736367738e-15
6,-3.825422641639654e-15,-8.324594356740413e-15,6.941447549950464e-15,-1.7399282144695395e-15,9.839381047031295e-15,-1.0569146510437261e-14,-1.0508057604600771e-14,-1.9663263988303433e-15,-4.201543752314821e-16,-6.683396109726372e-15
7,-3.7877683325192564e-15,9.59761456719336e-15,-9.713638322759462e-15,-2.909673742157193e-15,-7.050250676144163e-15,-1.0547811989228077e-14,-4.606949245802425e-15,4.681282419678917e-15,-7.407929581602679e-15,-5.716700282803338e-15
8,-3.832746285538098e-15,-1.7355736928758461e-15,1.2003116910477556e-16,4.306301228292638e-16,1.3305843885968373e-14,-1.055469731408656e-14,2.6914048066102618e-15,3.772274331635585e-15,2.401344445370313e-15,-7.644584225778699e-15
9,-3.751883511278803e-15,2.4068594450763912e-14,8.266885571313657e-15,-9.29262050079639e-15,-1.0157513407382918e-14,-1.057253044839005e-14,8.430009905601581e-15,1.435675038099288e-14,1.8015319995396774e-14,-2.893315890206734e-16
