beta_3,beta_4,sigma_3,sigma_4,time
-8.031043638209361e-16,-7.30324593011549e-15,9.742901338128985e-14,9.743473303513008e-14,7992297.6776645025
-3.4710233764044086e-15,4.143765621343447e-15,7.870893740444995e-14,7.871111157701199e-14,7995109.2837890955
6.6074701526223054e-15,9.831596687115993e-15,8.36812333589446e-14,8.368189861604004e-14,7997921.651689982
1.1155276713456366e-14,6.85411602576291e-15,8.127700341594582e-14,8.127598247626812e-14,8000734.033902392
1.5344416211129118e-16,-5.789627498159086e-15,8.311014940480037e-14,8.311269069991277e-14,8003546.357336233
8.165267858906422e-15,2.83709143719663e-15,9.392417142151248e-14,9.392484697719927e-14,8006358.702288588
-5.768935221583966e-15,-7.768041192297321e-15,8.344657798278873e-14,8.345102527255727e-14,8009171.448997468
-6.289825618312122e-15,1.1619733820932754e-15,8.326531170179637e-14,8.325988884883172e-14,8011983.421757031
-5.0429102490787884e-15,6.282076357885904e-15,9.286290165826878e-14,9.286236120162339e-14,8014795.916070657
-1.1638381448681316e-14,-4.24667510818606e-17,8.261462501170954e-14,8.261564953609656e-14,8017608.119851943
6.299361132716208e-16,3.9783040733384215e-15,9.867662328411037e-14,9.867354357674688e-14,8020420.474488128
-4.2799199756138453e-16,-2.378220161819813e-15,8.048216996588483e-14,8.048636317327976e-14,8023232.843984744
-2.8017070553509998e-15,5.4873056656716776e-15,1.0123507679958476e-13,1.0122962924491145e-13,8026045.169952203
7.844547327855694e-15,9.872910982800797e-15,9.541030137820157e-14,9.541031368629356e-14,8028857.569890616
-5.451923188585371e-15,-8.375233358489975e-15,8.323582163440335e-14,8.323607824164009e-14,8031669.3977446025
4.326330875820953e-15,1.1132026686338193e-14,8.655337291336943e-14,8.655549042022193e-14,8034482.038483809
-9.110532663445666e-15,-9.251331225337305e-17,8.428430633573918e-14,8.42895711501273e-14,8037294.560245994
-2.5549726655309847e-15,5.2171553853161035e-15,8.794418929532635e-14,8.794659599928316e-14,8040106.842651844
-7.726586555683271e-15,9.235741467532844e-16,7.344769827557966e-14,7.344782534981668e-14,8042919.312285516
-2.59215038974683e-15,1.961731518569594e-14,1.0862892018396219e-13,1.0862328549073555e-13,8045731.566550461
1.3561641853046285e-15,-8.980835126356541e-15,7.857821432654026e-14,7.857748828760917e-14,8048543.955295752
9.283400470391554e-16,-1.0176205311416935e-14,7.075705377325575e-14,7.075470629563284e-14,8051356.273796773
-3.2819183371683523e-14,-3.9592027439321844e-14,2.759570031318869e-13,2.759463564274725e-13,8054169.519009942
9.425010840805976e-15,6.098354291230467e-15,7.353640118252428e-14,7.353379534952186e-14,8056982.166532322
4.6411075878896604e-15,-9.540802194807077e-15,6.666566151067553e-14,6.66644960731351e-14,8059794.498246111
5.8260058867809996e-15,6.610017536551822e-16,6.375807647545611e-14,6.375894775991674e-14,8062606.815232173
-4.9725459504315265e-15,3.587296699847906e-15,6.664295149987632e-14,6.664369710331782e-14,8065419.219495192
8.0854231900153155e-16,1.304950966106986e-14,6.30841663561409e-14,6.308590818202408e-14,8068231.5903180735
4.486169441228127e-15,-4.537609856403879e-15,7.321095162092884e-14,7.321031979323023e-14,8071043.92110384
-6.587344669946893e-15,-1.0157094570020624e-14,6.528784803872579e-14,6.528676686634012e-14,8073856.230962543
-6.003040330423817e-15,4.10681769854414e-15,7.677245515210438e-14,7.677318853646841e-14,8076668.612487583
1.873614264399665e-15,8.532126958478248e-15,7.113105227622146e-14,7.11340708645794e-14,8079480.930414759
3.7178274301982285e-15,1.9246369231041777e-15,6.568478070604279e-14,6.568272949344928e-14,8082293.331669093
7.212482898503474e-15,-1.1796645315488057e-14,6.650582975002935e-14,6.65066128572409e-14,8085105.659937084
1.4771519589046446e-14,-6.14967254192144e-15,7.803920151529163e-14,7.803939134701011e-14,8087917.991217882
1.4642316363729195e-15,-1.5869074187532674e-14,7.185717706011431e-14,7.185651451375011e-14,8090730.362607568
1.4122911955613012e-14,-1.659209437819187e-14,6.770842848297271e-14,6.77101134263196e-14,8093542.639873683
9.419380384509596e-16,8.985173906518018e-15,6.934152881265305e-14,6.934258542235547e-14,8096354.944567308
3.912899525239893e-15,1.1256562329726193e-15,7.520480298808152e-14,7.520589083481946e-14,8099167.479068897
2.925720836925104e-15,-8.450757993049685e-15,6.703514784570073e-14,6.703834990048456e-14,8101979.755377228
-1.788088597476795e-15,-4.805234678377558e-15,8.261311779959233e-14,8.261321767840097e-14,8104792.13723567
-5.697033918641892e-15,1.1627782752297018e-14,7.67001244259654e-14,7.670376869725498e-14,8107604.46443954
9.568273216772911e-15,6.9864309983706354e-15,7.384328392875861e-14,7.384695737744967e-14,8110416.860993714
1.6795774130609724e-14,-3.605624304113062e-15,8.365391523568528e-14,8.365372363700327e-14,8113229.15637812
3.0780856439681174e-15,1.3215654818650424e-14,7.386840717310918e-14,7.386277957870647e-14,8116041.6976564145
-2.7246875310686858e-15,-4.631483216607047e-16,1.0798941416544148e-13,1.079945086104075e-13,8118853.886730235
3.150973655278973e-15,-5.959152802870162e-15,7.86460055171484e-14,7.864427579769861e-14,8121665.983897404
-1.8618769717686995e-15,2.2985017145346607e-15,7.804802431809486e-14,7.805092187633398e-14,8124478.531203996
6.179631905660271e-15,6.146637550563268e-15,8.260407910217929e-14,8.260462238834078e-14,8127290.823775447
-7.610674943064441e-15,2.4949687791878784e-14,2.0228656141444608e-13,2.0227762564832468e-13,8130103.601259785
-2.473150254565656e-15,-2.2356378062814586e-15,8.42655833153137e-14,8.426403738131745e-14,8132916.782365143
-1.0052927616193063e-14,-5.099404845349654e-15,7.222910969546869e-14,7.222886658843383e-14,8135729.078733215
-7.567236799604262e-15,4.462083909948382e-15,7.220602268726225e-14,7.220537872992286e-14,8138541.399222415
-5.028739998748082e-15,-1.0072789185140465e-14,7.26855426220936e-14,7.268387491008122e-14,8141353.779611437
-2.3752687886760262e-15,-5.1507844909576965e-15,7.067809494395065e-14,7.067739253055795e-14,8144166.148363098
-1.9783785882266895e-15,4.2073654263813195e-15,7.874527525106915e-14,7.874224659303649e-14,8146978.558467213
