beta_3,beta_4,sigma_3,sigma_4,time
1.8209893635484793e-06,7.423681629463894e-07,1.9528333707686264e-06,1.9529707431758932e-06,5306.541148675569
1.78602212702137e-06,3.591822035013198e-06,1.5350921789858935e-06,1.5350959772725837e-06,7805.46954111564
3.1073068136746955e-06,-3.929055313388136e-06,2.5858008876480634e-06,2.585756708906572e-06,10305.402715441252
-1.7603233306042026e-06,6.029416829205658e-06,1.4368389324070314e-06,1.4369003182070393e-06,12805.393974979435
2.9847323859022066e-06,3.0509181259578747e-06,1.7368233762307376e-06,1.737018988264469e-06,15305.354939766497
1.596551858583016e-06,2.398562076775094e-06,1.4179489187015224e-06,1.4179284509512382e-06,17805.42307067588
-1.10180019276158e-06,-3.5054714241992004e-06,1.3210933192868832e-06,1.321066655339065e-06,20305.594262566396
1.0535906180059216e-07,4.214461004657667e-06,1.6011024335880167e-06,1.601035772025851e-06,22805.525262035713
1.411097864035618e-06,5.504967629494552e-07,1.5443977676972236e-06,1.5444258893057314e-06,25305.478447360783
6.3725819250839056e-06,-4.829633661533326e-07,1.4285057744407959e-06,1.4286153195314193e-06,27805.47427227451
-2.456466289063675e-06,5.7054453092754225e-06,1.948344331010025e-06,1.9482461983250704e-06,30305.560262769086
1.5278275198126705e-06,-5.16123302451331e-06,1.3210836818863526e-06,1.3210785672163875e-06,32805.48687476937
-4.919676026523393e-06,-1.2441171064549635e-06,1.2141304273099165e-06,1.214188320603642e-06,35305.562184918526
-9.418656783202772e-08,2.0448784893731404e-06,1.2893651695861738e-06,1.2893327607347578e-06,37805.521745287595
-7.769650232846977e-07,2.255701563339661e-06,1.3254775135140403e-06,1.3253990717894715e-06,40305.54723646206
4.715909362362286e-06,-6.949944425087066e-06,1.2518487333625611e-06,1.251903389047002e-06,42805.56171914114
-7.588007540152154e-06,-4.5008967418011825e-06,1.6177403238956423e-06,1.6176488874729353e-06,45305.550834635826
3.996617366672469e-06,3.769557202857914e-06,1.3614384578251321e-06,1.3614221634400857e-06,47805.61309127213
8.622363137375533e-06,-3.805616400456705e-06,1.4718988553147759e-06,1.4719791961237597e-06,50305.580402918196
-3.971974913243857e-06,-3.971586339725455e-06,1.5189768018140154e-06,1.5189827454972244e-06,52805.55821782595
4.886299473397776e-06,6.39308041808726e-06,1.0893027807778183e-06,1.0892707222713214e-06,55305.532296348974
-7.65784103755909e-06,-3.003877375682386e-06,2.2362559169693363e-06,2.236259027424764e-06,57805.59877976657
3.047353875363757e-06,8.755585152080304e-06,2.632172148899577e-06,2.6321396981537983e-06,60305.61793358502
8.705207656061602e-06,1.5584804336415123e-06,1.7812802204157685e-06,1.7812284468649876e-06,62805.7206353054
-2.0300646120430964e-06,-7.75661893563984e-06,3.953301035649181e-06,3.953355980947527e-06,65305.64309689767
3.5361196572000255e-07,2.843084050455215e-06,2.5378926232291693e-06,2.5380474478184726e-06,67805.65883650955
-3.1635468540386596e-06,-8.371558863423328e-06,1.459219766814314e-06,1.4592251570922373e-06,70305.6399909862
-8.72671061525014e-10,-4.6962054445873754e-07,1.5028321227683598e-06,1.5028331248649972e-06,72805.47039093314
-5.5775851127096865e-06,4.089324630337247e-06,1.3418513873694599e-06,1.3418450311766318e-06,75305.65515717692
8.541320577964518e-06,-1.1877932028555473e-06,1.5412637986088665e-06,1.5411897055522909e-06,77805.68812236744
7.327385703474001e-07,-7.842552501994753e-06,1.852582037243082e-06,1.8526275524958807e-06,80305.65714657323
1.0168227740727533e-06,-3.553073944063019e-06,1.4581306799516067e-06,1.4580312869730313e-06,82805.91223874231
2.434518522531206e-06,-1.7164793663435903e-06,4.134661355335862e-06,4.134612928179793e-06,85305.78685013895
-5.322449896370002e-06,-7.202213181252016e-06,1.790006918091451e-06,1.7900160502210534e-06,87805.66762660634
2.9848339266420017e-06,4.560241013236171e-06,1.6054921297721794e-06,1.6054154033782652e-06,90305.69763198937
-3.369215418844068e-06,-7.148857710540679e-06,1.6493107022343616e-06,1.6493286435627217e-06,92805.69841012917
6.887854264674526e-06,-4.480306958166501e-07,1.2607024542834887e-06,1.2606885879826165e-06,95305.76437173832
1.975066152719805e-06,-3.110670296433306e-06,1.7146457117146484e-06,1.7147963432841212e-06,97805.77976026775
9.050259748791357e-07,-2.4524610978066185e-07,1.8212061188813575e-06,1.8211253834964715e-06,100305.80840411324
1.5915006399388676e-07,-7.498166228857408e-06,2.65174923583348e-06,2.651840870932036e-06,102805.76481872278
5.615553595037748e-07,4.2783339719796045e-06,1.4741457889223256e-06,1.4742287122970237e-06,105305.75420863066
-4.606500665745277e-06,-2.1218855080574766e-06,1.424333471541098e-06,1.4243807039944523e-06,107805.74033075159
-4.1762128155163305e-06,-7.837414382758366e-07,1.4326312951737243e-06,1.4327201440040292e-06,110306.27331254918
2.0617451639790783e-06,7.86129963732583e-06,1.8492064156854065e-06,1.8493813307893139e-06,112805.7722516839
