Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,2.37415587175686e-16,5.661911268659947e-17,4.881514056854352e-17,6.410084159702098e-17,7.531784527428728e-17,3.30304274331352e-17,3.3959715638725665e-17,1.4216659882306343e-16,4.488451148719243e-17,4.923744569920824e-17,1.0918311766715595e-16,2.2439728637721754e-17
1,2.393174310333332e-16,5.664772674150775e-17,4.976654686522071e-17,6.413323677101301e-17,7.890070033823382e-17,3.3125744671475656e-17,3.397687812301157e-17,1.4892943600853058e-16,4.524425641002642e-17,4.926232914814353e-17,1.1437693727096953e-16,2.2619484569438826e-17
2,2.2400289417684915e-16,5.52474398013105e-17,4.3979469205690986e-17,6.254784816010488e-17,6.185073515774021e-17,3.1877803713741334e-17,3.313703131237253e-17,1.167464385921845e-16,4.2347952134343636e-17,4.804455293828702e-17,8.966077026911543e-17,2.1172005676582524e-17
3,2.1053214141835404e-16,5.462108690577855e-17,3.902186793964832e-17,6.183866366755566e-17,5.030141442446284e-17,3.0969587212342014e-17,3.276138358019849e-17,9.494630289292088e-17,3.980026000298179e-17,4.7499811217190756e-17,7.291851032387081e-17,1.989879510080518e-17
4,2.0242037963165304e-16,5.441191179934288e-17,3.627218548082055e-17,6.160152449324109e-17,4.4876629342065296e-17,3.045389303076872e-17,3.2636092525629696e-17,8.470587523363441e-17,3.8266030286595506e-17,4.731765881477444e-17,6.505456790762484e-17,1.9132098459557636e-17
5,1.935804062802111e-16,5.696697911348533e-17,3.238688308616795e-17,6.448811054397607e-17,3.7452614740184033e-17,3.076485314807267e-17,3.4171827180047255e-17,7.067952049506402e-17,3.659304636952951e-17,4.953496332502887e-17,5.429238269991573e-17,1.8296573692499026e-17
6,2.1662285252263551e-16,6.573792486711501e-17,3.5574157458905365e-17,7.43750164628022e-17,4.050839557130546e-17,3.505263646499039e-17,3.9455308448442214e-17,7.636013266591255e-17,4.094834194333356e-17,5.714656050489168e-17,5.87042536157694e-17,2.0474468779255353e-17
7,2.663143263683852e-16,8.510456411854937e-17,4.2436344725605566e-17,9.666381100940503e-17,4.723113884090594e-17,4.425676806255683e-17,5.0872915854198125e-17,8.974405736366975e-17,5.035312655022153e-17,7.389112730809297e-17,6.880116499405739e-17,2.5171140981666102e-17
8,3.7678281612909624e-16,1.4187764480225188e-16,5.647616287694664e-17,1.5965976672766488e-16,6.037982391900948e-17,6.814270526475576e-17,8.557140559585648e-17,1.1265712576343763e-16,7.101659388884914e-17,1.239000113438114e-16,8.666565210783663e-17,3.5612253811443965e-17

