Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,-1.1979486141263031e-16,4.7389691375122065e-17,-1.2089343618046316e-17,-6.9268987203364895e-18,-1.9216622297109556e-17,-5.195027580560673e-17,-5.510099302246885e-17,3.2671915559534427e-18,-3.3613531775536545e-17,-3.273040798323417e-17,-3.795604888221148e-17,-2.4750157716526753e-18
1,-1.5576225909777081e-16,5.5252935626640066e-17,-1.1341466228204014e-17,-9.909603249976678e-18,-1.3508655580622003e-17,-5.172139335536729e-17,-5.502029680677982e-17,1.1660287204758816e-17,-3.027677311971876e-17,-2.878929912463208e-17,-3.8295333884624417e-17,-6.495164239202662e-18
2,-1.334501362889419e-16,5.67833527069075e-17,-1.1597057497260714e-17,-5.682255221385169e-18,-1.738075029082419e-17,-5.604870241347105e-17,-6.04070865040969e-17,-1.9501572050449027e-18,-2.2442224333578566e-17,-1.7015868357882726e-17,-4.1340618311954e-17,1.1594524454821254e-18
3,-1.61855021295145e-16,4.70372042057997e-17,-1.1729992706098316e-17,-2.7701286228834628e-18,-1.7658449022542863e-17,-6.055371068249979e-17,-6.653711412646032e-17,-1.0298634610787716e-17,-3.121418852537492e-17,-2.1466858399369677e-17,-5.418506061284267e-17,3.4636011128632046e-18
4,-1.1154928616271874e-16,4.337090715390402e-17,-1.6696624559166955e-17,-6.8863717657303334e-18,-2.1903027039347342e-17,-5.3510417300034464e-17,-5.974751899071341e-17,-1.1494525896007363e-17,-2.8099980716024626e-17,-9.390045117520952e-18,-6.346560990316661e-17,1.0871480765628403e-17
5,-1.1369325690154133e-16,7.563524834441606e-17,-1.9197416888041873e-17,9.383999280856577e-18,-2.883767639481263e-17,-5.283328867995661e-17,-6.303374279476774e-17,-9.194740555343817e-18,-4.028694221146679e-17,-1.9325813973903947e-17,-6.546769833028832e-17,1.4628793087734903e-17
6,-9.196269363896538e-17,5.734310706663698e-17,-1.3672962313097546e-17,3.990591172821123e-18,-1.8912753891989036e-17,-4.3216446723174716e-17,-6.829231639643108e-17,5.0707961343525697e-17,-7.045407409076156e-17,-1.1071524173933734e-16,-2.796812597826406e-17,2.9019962462183464e-17
7,3.686175404148822e-16,9.423408318011487e-17,2.7661150561919593e-17,4.7430709344030556e-17,2.294132459853818e-17,1.8799933217810716e-17,6.3095136862657135e-18,5.766998912048516e-17,2.889164951660799e-17,4.7553480055257025e-17,1.2712293147933474e-17,-7.131918856279291e-18
8,-1.706999240016922e-16,-1.2136675024736411e-17,6.100789588551779e-17,-2.0368106535826186e-16,9.886335634575976e-17,-1.0437551225134451e-17,-8.742173112322068e-18,-1.3376057174055639e-17,2.8696193868414596e-17,1.6328456386084037e-17,3.474739494469044e-17,9.382874636824626e-17

