Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,3.4895040594471227e-16,8.179117059326259e-17,7.373020361770476e-17,9.258048947288467e-17,1.2191182956346312e-16,4.798807950189907e-17,4.906777103816675e-17,2.3002179668485697e-16,6.599367478732515e-17,7.114479392983282e-17,1.7665054946367706e-16,3.298162732520077e-17
1,4.4300360005421944e-16,1.0565427473113582e-16,9.110926890022177e-17,1.1959144506250325e-16,1.4065108528771072e-16,6.164958286971564e-17,6.338361245274378e-17,2.653787925342298e-16,8.377792673662063e-17,9.190175962488043e-17,2.038037501677506e-16,4.187122121596134e-17
2,5.077757129451865e-16,1.2565204837783106e-16,9.930714800810823e-17,1.422271852211049e-16,1.3872145757620754e-16,7.243633499603485e-17,7.538058186842117e-17,2.6173799607002366e-16,9.601993724827873e-17,1.092965196580811e-16,2.0100771300141185e-16,4.799326507102475e-17
3,5.510915936993362e-16,1.426787164653988e-16,1.0238622503407307e-16,1.6149987284834319e-16,1.3239195036632478e-16,8.097325897992201e-17,8.559514998704181e-17,2.4979549838445887e-16,1.0420198968544323e-16,1.2410685529675006e-16,1.9183630006708786e-16,5.2087337500682714e-17
4,5.860253718116436e-16,1.5756151288123356e-16,1.0501121712921963e-16,1.7834592560242337e-16,1.2992030069942978e-16,8.819394222530582e-17,9.452355501899739e-17,2.4513208668599176e-16,1.108000907912212e-16,1.3705240041736196e-16,1.882549305650861e-16,5.5389161574055286e-17
5,1.013377191456578e-15,3.0461750127422707e-16,1.6732242416114452e-16,3.4480023217842964e-16,1.913650727074603e-16,1.6305035286334982e-16,1.827448329031128e-16,3.610647724051215e-16,1.9156769648241003e-16,2.649668248322937e-16,2.772882813421596e-16,9.578102876250846e-17
6,2.17084276946704e-15,6.657076448553295e-16,3.542728023251637e-16,7.535214360368677e-16,4.01404423263446e-16,3.5326320524052547e-16,3.9936906589267617e-16,7.573617069538015e-16,4.1036292511339456e-16,5.790513868125965e-16,5.816388939719802e-16,2.0518081075255328e-16
7,3.333247514468362e-15,1.0235408745279937e-15,5.435584262871827e-16,1.1585628402792823e-15,6.1550482547718005e-16,5.428297630471859e-16,6.1403586878716725e-16,1.161334467673607e-15,6.300958151785208e-16,8.903113136732835e-16,8.91870828166543e-16,3.150474263161211e-16
8,4.497622070616003e-15,1.3813327333942744e-15,7.333638732791282e-16,1.5635420312387329e-15,8.303703224366833e-16,7.325283467956187e-16,8.286858999115786e-16,1.5667201538743991e-15,8.502013818542195e-16,1.2014732624977381e-15,1.2032613818570297e-15,4.251002218526081e-16
9,5.764979426954626e-15,1.7691290659920387e-15,9.4046286595975e-16,2.0024289190626596e-15,1.0652616621587165e-15,9.385301766141793e-16,1.0613649902704028e-15,2.009780592189988e-15,1.089775144815188e-15,1.5387289333467355e-15,1.5436323466133736e-15,5.448866078332992e-16
10,6.615032455533983e-15,2.051574835151e-15,1.0728493219563192e-15,2.321961836904903e-15,1.2097209957223592e-15,1.0833498137442373e-15,1.2308987914815488e-15,2.282012140079369e-15,1.2504515644379801e-15,1.7843702001955387e-15,1.7528618990733591e-15,6.252307820128949e-16
11,6.0342885770792456e-15,1.8337903030140096e-15,9.900646523063454e-16,2.0750031529695606e-15,1.1265739705507361e-15,9.771372757002577e-16,1.1004817415535213e-15,2.1242011136379448e-15,1.1406612180303725e-15,1.593973262422116e-15,1.6330122263263833e-15,5.703408095575523e-16
12,5.592627156655354e-15,1.6993304353455223e-15,9.177001480600868e-16,1.9226986419745517e-15,1.0443345746640461e-15,9.0558453751681e-16,1.0198748462566022e-15,1.9688108554139508e-15,1.057151878306993e-15,1.476454789188404e-15,1.5143421246363727e-15,5.285964466790992e-16
13,5.1720030835009314e-15,1.496427656360107e-15,8.718453237966821e-16,1.70645314159402e-15,1.0142055679929051e-15,8.097923337546044e-16,8.908821838446278e-16,1.942674698302731e-15,9.774822627631414e-16,1.300148751004462e-15,1.482461124733881e-15,4.888404636269255e-16
