Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,-3.7813461670621145e-15,1.3591376266784815e-15,-1.027469916382107e-15,-3.4862023418685977e-16,-2.2046051841920603e-15,4.2848175595804987e-16,4.106916598381212e-16,8.194339161545797e-16,-1.8448814403309858e-15,-2.065650381134449e-15,-4.838075350542435e-16,-4.879527541150372e-16
1,-3.507000201125698e-15,1.3661673364231064e-15,-1.1158802284205528e-15,-3.3211712883765076e-16,-2.199983763277844e-15,4.271775521997925e-16,4.0425949562405423e-16,8.289278798503919e-16,-1.8062739268693583e-15,-2.075036138019605e-15,-4.84537393970826e-16,-4.88013915521752e-16
2,-2.9273824276632767e-15,1.3167420959746473e-15,-1.2861948243762948e-15,-3.315967051289196e-16,-2.194313549746349e-15,4.382354551818718e-16,4.069091398449823e-16,8.159153708093498e-16,-1.7065528419237282e-15,-2.0676702635521175e-15,-4.851435493441398e-16,-4.872579366696837e-16
3,-2.248203697221843e-15,1.3219804440626948e-15,-1.4461564307680266e-15,-3.262197403994146e-16,-2.1987703803523632e-15,4.482459748889586e-16,4.0367008388239353e-16,8.278850734320313e-16,-1.6022795957022197e-15,-2.0707769705753694e-15,-4.829004841319306e-16,-4.865980234854461e-16
4,-1.7677752722234172e-15,1.323596329908864e-15,-1.5447062000780735e-15,-3.206187674835909e-16,-2.194297334506523e-15,4.595264660970336e-16,4.0649523620445385e-16,8.161844330134723e-16,-1.5216643035837355e-15,-2.069438067911429e-15,-4.88140093968969e-16,-4.894417825831641e-16
5,-4.081661461046256e-16,1.3349743829934196e-15,-1.7542309012728014e-15,-3.128757448773876e-16,-2.198208702874282e-15,4.903344392103475e-16,4.0525464849316965e-16,8.224631632077331e-16,-1.3166273107783304e-15,-2.0650271979417555e-15,-4.970050556008794e-16,-4.836402221658965e-16
6,-1.912558297104983e-16,1.3438274716462143e-15,-1.7839349106915116e-15,-3.2238652227760767e-16,-2.1986848040513947e-15,4.860121301695581e-16,3.9253450593334755e-16,8.221872025035492e-16,-1.281018241027694e-15,-2.0658414388742783e-15,-4.891653636436368e-16,-4.828739543946687e-16
7,-2.2070013755567247e-16,1.3483680757942932e-15,-1.7868614979666973e-15,-3.2319895510039897e-16,-2.1999705328497746e-15,4.958236009344657e-16,4.0255013955223927e-16,8.294690789802038e-16,-1.2821391437762157e-15,-2.0713773941669832e-15,-4.901335322118167e-16,-4.817106811054221e-16
8,-2.591500569447503e-16,1.3446599809880608e-15,-1.785093982169178e-15,-3.2278220344957183e-16,-2.197537512260768e-15,4.901938040019322e-16,3.982821087167411e-16,8.187228239105977e-16,-1.2692946942276386e-15,-2.0545944562239596e-15,-4.816557130837404e-16,-4.812486725924598e-16
9,-1.227829730788543e-16,1.3299002746305454e-15,-1.7832052944123528e-15,-3.088616817325029e-16,-2.2004560098605726e-15,4.755724599983855e-16,3.7990877895887875e-16,8.185888468781555e-16,-1.2608430147477965e-15,-2.0317089779584534e-15,-4.850562407237219e-16,-4.864693460762729e-16
10,1.8184359886134627e-16,1.3185785832908164e-15,-1.790217027416237e-15,-3.186640804706082e-16,-2.18964288309512e-15,4.576310341167546e-16,3.523044752078652e-16,8.196481516718844e-16,-1.3154161790347633e-15,-2.1179643891983653e-15,-5.4096042762396115e-16,-4.47751197192815e-16
11,1.004806898265694e-15,1.3440902977811824e-15,-1.9303126651237793e-15,-4.690220028550504e-16,-2.3610559468682026e-15,5.068990485970591e-16,4.522883639327666e-16,7.10370368774634e-16,-1.344090506305376e-15,-2.0372065928183457e-15,-6.166076107703726e-16,-7.655095100435777e-16
12,-4.547888322834261e-16,1.2880139775527151e-15,-2.023221643567748e-15,1.4626150557619304e-16,-2.6632705425855132e-15,1.7492313273237906e-16,1.0914019283658744e-16,4.2007065478801983e-16,-1.2934355835282042e-15,-1.9905268281327684e-15,-5.601091684146161e-16,-9.74948335275282e-16
13,-6.084372543007423e-16,1.276694422088578e-15,-8.292319044293396e-16,-1.962782289212554e-15,-4.2882267889806007e-16,-8.047628508837424e-16,-6.116678382048012e-16,-1.7229488726623769e-15,8.489844970326622e-17,3.070792737206312e-16,-2.0396135538939596e-16,2.748399281658525e-16
